,Date,Store_ID,Product_ID,Stock_On_Hand
0,2018-09-30,1,1,27.0
1,2018-09-30,1,2,0.0
2,2018-09-30,1,3,32.0
3,2018-09-30,1,4,6.0
4,2018-09-30,1,5,0.0
5,2018-09-30,1,6,79.0
6,2018-09-30,1,7,5.0
7,2018-09-30,1,8,63.0
8,2018-09-30,1,9,12.0
9,2018-09-30,1,10,22.0
10,2018-09-30,1,11,19.0
11,2018-09-30,1,12,3.0
12,2018-09-30,1,13,12.0
13,2018-09-30,1,14,3.0
14,2018-09-30,1,15,2.0
15,2018-09-30,1,16,8.0
16,2018-09-30,1,17,7.0
17,2018-09-30,1,18,11.0
18,2018-09-30,1,19,25.0
19,2018-09-30,1,20,11.0
20,2018-09-30,1,21,21.0
21,2018-09-30,1,22,2.0
22,2018-09-30,1,23,1.0
23,2018-09-30,1,24,9.0
24,2018-09-30,1,25,54.0
25,2018-09-30,1,26,13.0
26,2018-09-30,1,27,33.0
27,2018-09-30,1,28,10.0
28,2018-09-30,1,29,4.0
29,2018-09-30,1,30,44.0
30,2018-09-30,1,31,7.0
31,2018-09-30,1,32,4.0
32,2018-09-30,1,33,2.0
33,2018-09-30,1,34,0.0
34,2018-09-30,1,35,12.0
35,2018-09-30,2,1,0.0
36,2018-09-30,2,2,6.0
37,2018-09-30,2,3,18.0
38,2018-09-30,2,4,0.0
39,2018-09-30,2,5,0.0
40,2018-09-30,2,6,6.0
41,2018-09-30,2,7,14.0
42,2018-09-30,2,8,76.0
43,2018-09-30,2,9,0.0
44,2018-09-30,2,10,10.0
45,2018-09-30,2,11,0.0
46,2018-09-30,2,12,2.0
47,2018-09-30,2,13,3.0
48,2018-09-30,2,14,21.0
49,2018-09-30,2,15,20.0
50,2018-09-30,2,16,0.0
51,2018-09-30,2,17,12.0
52,2018-09-30,2,18,38.0
53,2018-09-30,2,19,35.0
54,2018-09-30,2,20,0.0
55,2018-09-30,2,21,20.0
56,2018-09-30,2,22,0.0
57,2018-09-30,2,23,8.0
58,2018-09-30,2,24,39.0
59,2018-09-30,2,25,32.0
60,2018-09-30,2,26,12.0
61,2018-09-30,2,27,30.0
62,2018-09-30,2,28,2.0
